"TIME","LATITUDE","LONGITUDE","TYPE","NR-TAC","NR-PCI","NR-CI","NR-ARFCN","CSI-RSRP","CSI-RSRQ","CSI-SINR","SS-RSRP","SS-RSRQ","SS-SINR","TAC","PCI","ECI","EARFCN","BAND_WIDTH","RSSI","RSRP","RSRQ","SINR","CQI","LAC","CI","RXLEV","ARFCN","BSIC","PSC","UARFCN","NID","BID","SID","CDMADBM","CDMAECIO","EVDODBM","EVDOECIO","EVDOSNR"
"20210917 10:34:36.546","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:36.656","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:37.408","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:37.788","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:38.958","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:39.393","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:39.664","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:40.132","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:41.281","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:41.410","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:42.434","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
